index,x,y
10,328.875,265.000
11,375.375,262.000
12,415.875,249.500
22,253.125,251.000
23,304.875,248.500
24,354.000,242.500
25,392.625,234.500
32,66.375,261.500
33,120.000,256.000
34,171.750,251.000
35,231.375,238.000
36,285.375,227.000
37,334.500,221.500
38,373.875,216.500
45,63.000,232.000
46,117.750,222.000
47,157.500,223.000
48,215.625,216.500
49,267.750,205.500
50,312.750,200.500
51,354.000,199.000
58,65.250,206.500
59,114.750,201.500
60,148.875,197.000
61,187.875,194.000
62,247.875,186.500
63,290.250,180.500
64,328.875,176.500
65,0.750,188.000
71,62.250,186.500
72,104.625,177.000
73,136.500,176.000
74,170.250,171.500
75,226.500,165.500
76,270.375,160.000
77,307.500,156.000
83,13.125,157.000
84,53.625,163.500
85,97.875,158.000
86,129.375,155.500
87,166.500,150.500
88,188.250,149.000
89,250.500,140.500
90,285.750,136.500
index,x,y
10,328.125,265.500
11,373.500,263.000
12,413.625,250.500
21,183.000,270.000
22,250.875,251.500
23,304.125,248.000
24,352.125,243.000
25,390.750,235.500
32,65.625,264.500
33,121.500,256.000
34,171.375,253.500
35,231.000,240.000
36,285.375,227.000
37,333.375,221.500
38,369.750,217.000
45,66.750,234.500
46,118.125,225.500
47,157.875,222.500
48,214.500,217.000
49,267.375,205.500
50,312.000,200.500
51,362.625,206.000
58,66.000,206.500
59,115.125,201.500
60,149.625,196.500
61,169.500,196.000
62,247.125,186.500
63,289.500,180.500
64,328.125,176.500
65,5.625,187.500
71,62.625,186.000
72,103.875,177.500
73,136.500,175.500
74,158.625,172.000
75,220.875,166.000
76,269.625,160.000
77,307.125,155.500
83,13.125,157.000
84,57.750,163.000
85,99.000,158.000
86,130.125,155.000
87,165.750,150.500
88,179.250,150.000
89,249.750,140.500
90,285.750,137.000
index,x,y
10,326.250,266.500
11,374.250,263.500
12,416.625,249.000
22,249.750,252.000
23,303.000,250.000
24,352.125,243.500
25,391.500,235.500
32,65.250,262.000
34,170.625,252.500
35,230.625,239.000
36,282.375,227.500
37,332.250,222.000
38,372.000,217.500
47,156.000,223.000
48,213.375,216.000
49,265.125,205.500
50,310.125,200.500
51,374.625,214.000
58,63.750,206.000
59,112.875,201.000
60,145.875,197.000
61,185.625,193.500
62,244.875,187.000
63,287.625,181.000
64,327.000,176.000
71,61.500,186.000
72,101.250,177.000
73,133.875,176.000
74,160.125,172.000
75,222.000,165.500
76,267.750,160.500
77,306.000,156.000
83,12.750,157.000
84,56.625,162.500
85,94.125,158.500
86,127.500,155.500
87,163.500,150.500
88,187.500,149.000
89,247.500,141.000
90,283.875,137.500
index,x,y
10,326.250,266.500
11,373.875,264.000
12,416.625,249.000
22,249.000,253.000
23,303.000,250.000
24,351.750,243.500
25,391.125,235.500
32,65.625,262.500
34,170.250,252.500
35,230.250,239.500
36,282.000,227.500
37,331.875,222.000
38,372.000,217.500
46,118.500,222.000
47,156.000,223.000
48,213.000,216.000
49,265.125,205.500
50,310.125,200.500
51,370.125,211.500
58,63.375,206.000
59,112.500,201.500
60,146.250,196.500
61,188.250,193.000
62,244.875,187.000
63,287.625,181.000
64,327.000,176.500
71,61.125,186.000
72,100.500,177.500
73,133.875,175.500
74,166.500,171.000
75,223.125,165.500
76,267.750,160.500
77,306.000,156.000
83,12.375,157.500
84,56.250,162.500
85,93.750,158.500
86,127.500,155.500
87,163.500,150.500
88,189.375,148.500
89,247.500,141.000
90,284.250,137.500
index,x,y
10,326.625,266.500
11,374.250,263.500
12,420.000,247.000
21,183.750,269.000
22,247.125,258.500
23,303.000,250.500
24,352.125,243.000
25,391.875,235.000
32,64.125,257.000
34,169.500,252.500
35,230.250,241.500
36,282.000,228.000
37,331.500,222.000
38,369.375,217.000
46,117.000,222.000
47,155.625,223.500
48,213.000,217.000
49,264.375,206.500
50,309.750,200.500
51,368.250,210.500
58,62.625,206.000
59,110.250,201.000
60,144.000,197.500
61,179.250,194.500
62,244.125,187.000
63,286.875,181.000
64,326.250,176.000
65,7.500,188.000
71,60.000,186.000
72,93.750,178.500
73,132.375,175.500
74,150.000,173.000
75,223.125,165.500
76,267.000,160.500
77,305.250,156.000
84,51.000,164.000
85,90.750,159.000
86,124.875,156.000
87,162.750,150.500
88,186.750,149.500
89,246.750,141.000
90,283.500,137.000
index,x,y
10,324.750,267.500
11,372.750,264.000
12,411.750,251.500
21,178.500,270.000
22,248.250,262.500
23,302.250,251.000
24,351.000,243.000
25,389.625,235.500
32,63.375,262.000
34,169.875,255.000
35,229.500,243.500
36,280.500,228.000
37,330.750,222.500
38,370.500,217.000
46,118.500,222.000
47,156.000,224.000
48,212.625,217.000
49,263.625,206.000
50,309.000,200.500
51,382.125,219.000
58,61.875,207.500
59,111.750,201.500
60,145.125,197.500
61,176.250,194.500
62,243.750,187.000
63,285.750,181.000
64,327.750,178.000
65,1.500,188.000
71,60.000,186.000
72,97.500,178.000
73,132.750,175.500
74,167.625,171.000
75,220.125,165.500
76,266.250,160.500
77,304.500,156.500
84,53.625,163.000
85,93.375,158.000
86,125.625,155.500
87,162.750,150.000
88,189.375,149.000
89,246.000,141.500
90,283.125,137.000
index,x,y
10,323.625,268.500
11,372.375,264.000
12,412.500,248.500
21,186.750,283.500
22,247.500,264.000
23,300.750,251.000
24,349.875,243.000
25,389.250,235.000
32,63.375,265.000
33,120.000,254.000
34,171.750,257.500
35,228.375,244.500
36,279.000,228.500
37,329.625,222.000
38,370.125,217.000
45,58.125,235.000
46,118.500,222.000
47,156.375,224.500
48,211.875,217.000
49,262.875,206.500
50,307.875,200.500
51,375.000,215.500
58,60.750,208.000
59,109.500,201.500
60,145.500,197.500
61,187.875,193.000
62,243.375,187.000
63,285.375,180.500
64,326.625,177.500
71,57.750,186.500
72,93.375,178.000
73,132.375,175.500
74,173.250,170.500
75,222.750,165.500
76,265.875,160.000
77,303.750,156.000
84,49.875,163.500
85,92.250,158.500
86,124.125,155.500
87,162.750,149.500
88,191.625,147.500
89,246.000,141.500
90,282.000,137.500
index,x,y
10,324.000,268.000
11,371.625,263.500
12,410.625,248.500
21,186.000,286.000
22,247.125,265.000
23,300.375,251.000
24,349.125,242.500
25,388.500,235.000
32,60.750,267.000
33,117.000,254.000
34,171.000,260.000
35,228.375,245.500
36,278.625,228.500
37,328.500,222.000
38,369.375,216.500
45,57.750,235.500
46,118.500,222.000
47,156.375,225.500
48,211.875,218.000
49,262.875,206.500
50,307.500,200.500
51,377.250,216.000
58,58.500,209.000
59,110.625,202.500
60,145.500,198.000
61,190.875,193.000
62,243.375,187.000
63,285.000,181.000
64,324.750,176.500
71,55.125,187.000
72,96.750,177.500
73,133.125,175.500
74,176.250,169.500
75,223.125,165.500
76,265.125,160.500
77,303.000,156.000
84,45.750,164.500
85,90.750,158.500
86,124.500,154.500
87,162.750,149.000
88,194.625,147.500
89,245.625,141.500
90,281.625,137.500
index,x,y
10,322.500,268.500
11,371.625,264.000
12,412.500,247.500
22,246.375,260.000
23,299.250,250.500
24,349.125,242.500
25,388.500,235.500
32,55.125,266.500
33,117.000,254.000
34,170.250,257.000
35,225.750,241.500
36,276.375,228.000
37,328.875,222.000
38,369.000,215.500
45,60.000,236.000
47,154.875,226.000
48,212.625,215.500
49,261.750,206.500
50,306.750,200.000
51,391.875,224.500
58,55.875,209.000
59,110.625,203.000
60,144.000,198.000
61,195.750,191.500
62,243.750,186.500
63,284.250,181.500
64,323.250,176.000
71,51.375,188.500
72,97.500,178.000
73,131.250,175.500
74,174.750,169.500
75,223.125,165.500
76,265.125,161.000
77,302.250,156.500
84,43.500,164.000
85,85.500,159.500
86,121.500,155.000
87,162.375,149.000
88,203.250,145.500
89,246.375,141.500
90,281.250,137.500
index,x,y
10,322.500,268.500
11,371.625,264.000
12,412.125,247.500
22,246.750,259.500
23,298.875,250.500
24,349.125,242.500
25,388.125,235.500
32,55.500,266.500
33,117.000,254.000
34,170.250,256.500
35,225.750,241.000
36,276.375,228.000
37,328.500,221.500
38,369.000,215.000
45,60.000,236.000
47,155.250,225.500
48,212.625,215.500
49,261.750,206.500
50,306.750,200.000
51,390.000,223.500
58,56.250,208.500
59,111.000,202.500
60,144.000,198.000
61,195.000,192.000
62,243.750,186.500
63,284.250,181.500
64,323.250,176.000
71,51.750,188.500
72,97.125,178.000
73,131.625,175.500
74,174.375,169.500
75,223.125,165.500
76,265.125,161.000
77,301.875,156.500
84,43.125,164.500
85,85.875,159.500
86,121.875,155.000
87,162.375,149.000
88,203.250,145.500
89,246.375,141.500
90,281.250,137.500
index,x,y
9,249.000,280.000
10,320.625,270.000
11,371.250,264.000
12,412.875,247.000
21,182.250,269.500
22,243.375,261.000
23,297.375,251.500
24,348.375,242.500
25,388.500,235.500
32,55.500,257.500
34,167.625,253.000
35,222.750,241.000
36,274.875,228.500
37,327.375,221.500
38,369.000,215.500
41,33.000,240.000
46,118.500,222.000
47,153.000,224.000
48,210.000,215.000
49,260.250,206.500
50,305.625,200.000
51,386.250,221.500
58,54.750,208.500
59,111.000,203.000
60,142.125,197.500
61,193.125,192.000
62,241.500,187.000
63,283.125,181.500
64,322.875,176.000
70,12.000,186.000
71,49.125,188.500
72,94.875,178.500
73,130.875,175.000
74,171.375,171.000
75,221.250,166.000
76,264.375,161.500
77,301.500,156.500
84,39.375,164.500
85,84.000,159.500
86,119.625,156.000
87,161.250,149.500
88,200.250,146.000
89,244.875,142.000
90,280.875,137.500
index,x,y
10,318.375,271.000
11,369.750,264.000
12,409.500,249.000
21,181.125,269.500
22,241.500,263.000
23,295.875,252.000
24,347.250,243.000
25,386.625,236.000
32,54.750,260.000
34,166.875,253.500
35,222.375,242.000
36,274.875,229.500
37,326.625,221.500
38,367.125,215.500
47,151.875,223.500
48,208.125,216.000
49,258.375,207.500
50,304.875,200.000
51,369.750,212.500
58,52.500,209.500
59,109.875,202.500
60,141.750,197.500
61,192.375,192.500
62,240.375,186.500
63,282.375,181.000
64,321.750,175.500
70,12.000,186.000
71,47.625,188.500
72,96.750,178.000
73,130.500,175.500
74,170.625,171.000
75,220.125,166.500
76,263.625,160.500
77,300.750,156.000
83,1.500,172.000
84,41.625,171.000
85,82.875,159.500
86,120.000,156.000
87,160.500,149.000
88,201.000,145.500
89,243.375,142.000
90,280.500,137.500
index,x,y
9,244.125,280.000
10,316.875,271.000
11,369.000,263.500
12,409.875,250.000
21,175.125,269.000
22,241.125,261.500
23,295.125,252.000
24,346.875,243.000
25,386.250,236.000
32,53.625,264.500
34,166.500,254.000
35,222.000,241.000
36,274.875,229.500
37,326.250,222.000
38,366.750,216.000
41,31.500,240.000
45,60.000,234.000
46,106.500,222.000
47,151.125,223.500
48,208.500,215.000
49,258.375,207.000
50,304.500,200.500
51,379.500,218.000
58,51.375,211.500
59,106.125,203.000
60,139.875,197.500
61,192.375,192.500
62,241.125,186.500
63,282.750,181.500
64,321.750,175.000
70,12.000,186.000
71,46.875,189.000
72,94.125,178.000
73,129.000,175.000
74,167.250,171.000
75,220.500,165.500
76,264.000,160.000
77,300.750,156.000
83,0.750,166.000
84,41.250,164.000
85,82.125,159.500
86,118.875,155.500
87,160.500,149.000
88,199.125,146.000
89,243.750,141.500
90,280.500,137.000
index,x,y
9,235.875,280.500
10,315.750,270.500
11,367.500,263.000
12,406.500,251.000
19,54.000,288.000
21,176.250,268.000
22,235.500,259.000
23,292.875,251.500
24,346.125,242.500
25,384.750,236.000
32,52.500,264.500
34,162.000,252.000
35,215.625,238.000
36,272.250,229.000
37,325.875,221.500
38,366.000,216.000
41,19.875,240.000
45,56.250,234.000
46,106.500,222.000
47,148.875,223.000
48,205.875,214.000
49,255.750,206.500
50,304.125,200.000
51,363.375,208.500
58,51.000,211.500
59,102.750,203.000
60,139.125,197.000
61,190.125,192.000
62,238.875,187.000
63,282.000,181.000
64,321.375,175.500
65,1.500,196.000
71,46.125,188.500
72,92.625,178.500
73,128.250,175.000
74,168.375,171.000
75,219.375,166.000
76,263.625,160.500
77,300.375,156.500
83,0.750,162.500
84,42.375,165.500
85,83.250,158.500
86,118.125,155.500
87,159.375,149.500
88,198.750,146.000
89,243.375,142.000
90,280.125,137.500
index,x,y
8,172.125,270.000
9,231.750,281.000
10,314.250,271.500
11,367.125,263.500
12,407.625,252.000
16,196.500,259.000
21,171.375,265.500
22,231.375,254.500
23,290.625,252.500
24,346.125,243.000
25,384.375,237.000
32,46.500,254.000
34,161.250,249.500
35,213.375,238.500
36,270.000,229.500
37,325.500,222.000
38,365.625,216.500
46,106.500,222.000
47,147.750,222.500
48,204.750,213.500
49,253.500,207.000
50,303.375,200.500
51,343.500,196.000
58,47.250,210.000
59,101.625,202.500
60,138.000,197.000
61,187.500,192.000
62,237.000,186.500
63,281.625,181.000
64,321.000,175.500
71,45.375,187.500
72,90.750,178.000
73,125.625,175.500
74,169.500,171.000
75,217.875,165.500
76,262.875,160.000
77,300.375,156.500
84,37.500,173.500
85,79.500,159.500
86,116.625,156.000
87,157.500,149.000
88,199.875,145.500
89,241.875,141.500
90,279.750,137.000
index,x,y
8,171.750,270.000
9,231.750,281.000
10,314.250,271.500
11,367.125,263.500
12,406.875,252.000
16,196.500,260.000
21,170.625,265.500
22,231.375,254.500
23,291.000,252.500
24,345.750,243.000
25,384.375,236.500
32,46.500,254.000
34,161.250,249.000
35,213.375,238.500
36,270.000,229.500
37,325.500,222.000
38,365.625,216.500
46,105.000,222.000
47,147.750,222.500
48,204.750,213.500
49,253.500,207.000
50,303.375,200.500
51,343.125,196.000
58,47.250,210.000
59,101.625,202.500
60,138.000,197.000
61,187.875,192.000
62,237.000,186.500
63,281.625,181.000
64,321.000,175.500
71,45.375,187.500
72,90.750,178.000
73,126.000,175.500
74,169.500,171.000
75,217.500,165.500
76,262.875,160.000
77,300.000,156.500
84,37.875,172.000
85,79.500,159.500
86,116.625,156.000
87,157.500,149.000
88,199.875,145.500
89,241.875,141.500
90,279.750,136.500
index,x,y
8,168.750,270.000
10,315.375,272.000
11,367.125,264.000
12,407.250,251.000
21,168.000,268.500
22,236.250,262.500
23,293.250,253.000
24,346.125,243.000
25,384.375,236.500
32,49.875,261.000
34,162.000,250.500
35,217.500,241.000
36,272.250,230.500
37,325.500,222.500
38,365.625,216.500
45,46.500,238.000
46,105.000,222.000
47,148.500,223.000
48,206.250,214.500
49,255.000,207.500
50,303.750,200.500
51,343.500,196.500
58,46.875,210.000
59,102.000,202.500
60,137.250,198.000
61,189.000,192.500
62,237.750,186.500
63,281.625,181.000
64,321.000,176.000
71,43.500,187.500
72,89.625,178.000
73,126.000,175.500
74,171.000,171.000
75,218.250,165.000
76,262.500,160.000
77,300.000,156.500
83,0.750,165.500
84,35.250,169.000
85,78.000,160.000
86,116.250,155.500
87,157.125,149.000
88,199.500,145.000
89,241.875,141.000
90,279.000,136.500
index,x,y
3,201.750,278.000
9,235.500,280.500
10,312.750,273.000
11,366.000,263.500
12,406.125,251.500
21,174.750,266.500
22,233.250,259.000
23,290.625,252.000
24,344.625,243.000
25,383.625,236.500
32,48.750,267.000
34,161.250,249.500
35,213.750,238.500
36,269.625,229.500
37,324.750,222.500
38,365.250,216.500
45,46.500,237.000
46,110.625,222.000
47,148.875,222.000
48,204.375,214.000
49,254.625,207.000
50,303.000,200.500
51,342.750,196.000
58,45.375,211.500
59,103.125,203.000
60,138.000,196.500
61,182.625,192.500
62,237.750,186.000
63,281.625,181.000
64,320.625,176.000
71,42.750,188.000
72,91.875,177.500
73,126.000,175.000
74,169.500,170.000
75,217.500,164.500
76,262.875,159.500
77,300.000,156.500
83,0.750,166.000
84,37.125,164.500
85,80.625,159.500
86,116.625,155.000
87,156.375,148.500
88,199.500,144.500
89,241.875,140.500
90,279.375,136.500
index,x,y
9,232.500,282.500
10,312.375,273.500
11,366.750,263.500
12,406.875,251.500
21,171.375,267.000
22,231.750,261.500
23,290.625,253.000
24,345.375,243.000
25,384.000,237.000
32,48.000,265.000
33,109.125,254.500
34,161.250,250.500
35,214.125,241.000
36,270.000,231.000
37,325.500,222.500
38,365.625,216.500
45,45.750,236.000
46,106.500,222.000
47,147.375,223.000
48,203.625,214.000
49,253.500,208.000
50,303.000,200.500
51,343.500,196.000
58,43.875,211.000
59,101.625,202.500
60,136.125,196.500
61,184.500,192.000
62,236.250,186.500
63,281.250,181.000
64,320.250,176.000
71,40.500,188.000
72,91.125,177.500
73,125.250,175.000
74,169.125,170.000
75,216.750,164.000
76,262.125,159.000
77,300.000,156.000
83,0.750,164.000
84,36.000,165.000
85,80.250,160.000
86,116.250,155.000
87,154.875,148.500
88,198.000,144.000
89,240.750,140.000
90,278.250,136.000
index,x,y
9,232.500,281.500
10,311.250,274.000
11,366.000,263.500
12,406.125,251.500
13,198.000,270.000
16,193.500,258.000
19,46.125,290.500
22,232.875,260.000
23,290.250,253.000
24,344.250,243.500
25,383.625,237.500
32,45.750,263.000
33,108.000,254.000
34,160.875,249.500
35,213.750,240.500
36,270.375,231.000
37,324.750,223.000
38,365.250,216.500
41,20.625,240.000
45,46.500,235.500
46,105.000,222.000
47,147.750,223.000
48,199.125,214.500
49,252.375,208.000
50,302.625,200.500
51,343.500,196.000
58,45.000,210.000
59,102.750,202.500
60,136.125,196.500
61,178.875,193.000
62,235.875,186.000
63,280.875,180.500
64,320.250,175.500
71,42.750,187.500
72,93.000,178.000
73,124.125,175.000
74,168.750,170.000
75,214.500,164.500
76,261.750,159.000
77,299.625,155.500
83,0.750,164.500
84,39.000,163.500
85,82.500,159.000
86,115.500,155.000
87,153.750,148.500
88,178.500,147.000
89,240.375,139.500
90,278.250,135.500
index,x,y
