index,x,y
10,877,530
11,1001,524
12,1109,499
22,675,502
23,813,497
24,944,485
25,1047,469
32,177,523
33,320,512
34,458,502
35,617,476
36,761,454
37,892,443
38,997,433
45,168,464
46,314,444
47,420,446
48,575,433
49,714,411
50,834,401
51,944,398
58,174,413
59,306,403
60,397,394
61,501,388
62,661,373
63,774,361
64,877,353
65,2,376
71,166,373
72,279,354
73,364,352
74,454,343
75,604,331
76,721,320
77,820,312
83,35,314
84,143,327
85,261,316
86,345,311
87,444,301
88,502,298
89,668,281
90,762,273
index,x,y
10,875,531
11,996,526
12,1103,501
21,488,540
22,669,503
23,811,496
24,939,486
25,1042,471
32,175,529
33,324,512
34,457,507
35,616,480
36,761,454
37,889,443
38,986,434
45,178,469
46,315,451
47,421,445
48,572,434
49,713,411
50,832,401
51,967,412
58,176,413
59,307,403
60,399,393
61,452,392
62,659,373
63,772,361
64,875,353
65,15,375
71,167,372
72,277,355
73,364,351
74,423,344
75,589,332
76,719,320
77,819,311
83,35,314
84,154,326
85,264,316
86,347,310
87,442,301
88,478,300
89,666,281
90,762,274
index,x,y
10,870,533
11,998,527
12,1111,498
22,666,504
23,808,500
24,939,487
25,1044,471
32,174,524
34,455,505
35,615,478
36,753,455
37,886,444
38,992,435
47,416,446
48,569,432
49,707,411
50,827,401
51,999,428
58,170,412
59,301,402
60,389,394
61,495,387
62,653,374
63,767,362
64,872,352
71,164,372
72,270,354
73,357,352
74,427,344
75,592,331
76,714,321
77,816,312
83,34,314
84,151,325
85,251,317
86,340,311
87,436,301
88,500,298
89,660,282
90,757,275
index,x,y
10,870,533
11,997,528
12,1111,498
22,664,506
23,808,500
24,938,487
25,1043,471
32,175,525
34,454,505
35,614,479
36,752,455
37,885,444
38,992,435
46,316,444
47,416,446
48,568,432
49,707,411
50,827,401
51,987,423
58,169,412
59,300,403
60,390,393
61,502,386
62,653,374
63,767,362
64,872,353
71,163,372
72,268,355
73,357,351
74,444,342
75,595,331
76,714,321
77,816,312
83,33,315
84,150,325
85,250,317
86,340,311
87,436,301
88,505,297
89,660,282
90,758,275
index,x,y
10,871,533
11,998,527
12,1120,494
21,490,538
22,659,517
23,808,501
24,939,486
25,1045,470
32,171,514
34,452,505
35,614,483
36,752,456
37,884,444
38,985,434
46,312,444
47,415,447
48,568,434
49,705,413
50,826,401
51,982,421
58,167,412
59,294,402
60,384,395
61,478,389
62,651,374
63,765,362
64,870,352
65,20,376
71,160,372
72,250,357
73,353,351
74,400,346
75,595,331
76,712,321
77,814,312
84,136,328
85,242,318
86,333,312
87,434,301
88,498,299
89,658,282
90,756,274
index,x,y
10,866,535
11,994,528
12,1098,503
21,476,540
22,662,525
23,806,502
24,936,486
25,1039,471
32,169,524
34,453,510
35,612,487
36,748,456
37,882,445
38,988,434
46,316,444
47,416,448
48,567,434
49,703,412
50,824,401
51,1019,438
58,165,415
59,298,403
60,387,395
61,470,389
62,650,374
63,762,362
64,874,356
65,4,376
71,160,372
72,260,356
73,354,351
74,447,342
75,587,331
76,710,321
77,812,313
84,143,326
85,249,316
86,335,311
87,434,300
88,505,298
89,656,283
90,755,274
index,x,y
10,863,537
11,993,528
